date,open,high,low,close
2020-06-04,12390.030,12558.240,12326.440,12430.560
2020-06-03,12147.120,12507.410,12133.700,12487.360
2020-06-02,11896.700,12055.570,11850.340,12021.280
2020-05-29,11649.370,11729.980,11575.740,11586.850
2020-05-28,11746.780,11813.140,11654.830,11781.130
2020-05-27,11530.200,11747.200,11519.770,11657.690
2020-05-26,11488.990,11544.350,11429.880,11504.650
2020-05-25,11186.040,11391.280,11118.120,11391.280
2020-05-22,10896.280,11138.150,10867.170,11073.870
2020-05-21,11088.120,11194.920,11036.910,11065.930
2020-05-20,11029.330,11246.910,10978.570,11223.710
2020-05-19,11200.920,11201.180,10936.070,11075.290
2020-05-18,10683.860,11089.500,10677.520,11058.870
2020-05-15,10470.850,10547.190,10382.540,10465.170
2020-05-14,10418.040,10474.080,10160.890,10337.020
2020-05-13,10669.990,10698.130,10530.320,10542.660
2020-05-12,10777.740,10886.010,10772.580,10819.500
2020-05-11,10948.240,10986.220,10740.820,10824.990
2020-05-08,10882.440,10918.320,10819.070,10904.480
2020-05-07,10640.770,10761.860,10617.230,10759.270
2020-05-06,10716.510,10773.860,10598.900,10606.200
2020-05-05,10627.070,10736.950,10518.940,10729.460
2020-05-04,10543.360,10578.430,10426.060,10466.800
2020-04-30,11195.210,11235.570,10839.300,10861.640
2020-04-29,10812.740,11125.350,10789.520,11107.740
2020-04-28,10658.470,10897.820,10651.580,10795.630
2020-04-27,10551.070,10660.360,10523.100,10659.990
2020-04-24,10299.310,10486.470,10299.310,10336.090
2020-04-23,10437.380,10608.390,10325.110,10513.790
2020-04-22,10370.250,10425.020,10321.200,10415.030
2020-04-21,10519.440,10524.730,10249.850,10249.850
2020-04-20,10704.350,10707.310,10444.550,10675.900
2020-04-17,10607.350,10756.780,10542.710,10625.780
2020-04-16,10420.260,10438.370,10236.240,10301.540
2020-04-15,10678.190,10678.190,10243.110,10279.760
2020-04-14,10733.970,10820.170,10658.960,10696.560
2020-04-09,10490.650,10649.790,10311.700,10564.740
2020-04-08,10301.560,10340.790,10198.220,10332.890
2020-04-07,10464.110,10590.410,10225.020,10356.700
2020-04-06,9889.030,10097.310,9841.490,10075.170
2020-04-03,9535.270,9626.720,9470.200,9525.770
2020-04-02,9587.450,9650.270,9337.020,9570.820
2020-04-01,9610.670,9686.460,9498.050,9544.750
2020-03-31,9970.790,10096.420,9703.880,9935.840
2020-03-30,9725.880,9817.510,9453.790,9815.970
2020-03-27,9793.500,9886.180,9541.830,9632.520
2020-03-26,9621.240,10000.960,9526.170,10000.960
2020-03-25,9987.370,10137.620,9460.910,9874.260
2020-03-24,9242.060,9700.570,9102.170,9700.570
2020-03-23,8536.330,9071.140,8480.280,8741.150
2020-03-20,9080.490,9201.070,8838.300,8928.950
2020-03-19,8495.940,8668.480,8257.530,8610.430
2020-03-18,8613.350,8670.410,8400.180,8441.710
2020-03-17,9141.170,9145.930,8423.560,8939.100
2020-03-16,8728.480,8967.110,8255.650,8742.250
2020-03-13,9480.780,9985.740,9064.680,9232.080
2020-03-12,9863.990,9932.560,9139.120,9161.130
2020-03-11,10601.850,10761.430,10390.510,10438.680
2020-03-10,10724.980,11032.290,10423.900,10475.490
2020-03-09,10690.080,10995.220,10556.640,10625.020
2020-03-06,11694.560,11769.850,11447.200,11541.870
2020-03-05,12191.410,12207.770,11844.880,11944.720
2020-03-04,11992.590,12199.820,11929.240,12127.690
2020-03-03,12013.060,12272.990,11906.820,11985.390
2020-03-02,12030.270,12121.600,11624.630,11857.870
2020-02-28,11891.870,12008.590,11724.120,11890.350
2020-02-27,12526.600,12593.620,12211.630,12367.460
2020-02-26,12682.160,12849.170,12368.050,12774.880
2020-02-25,13132.040,13132.040,12778.660,12790.490
2020-02-24,13231.380,13236.580,12982.140,13035.240
2020-02-21,13609.940,13689.230,13500.500,13579.330
2020-02-20,13774.440,13788.410,13664.000,13664.000
2020-02-19,13751.050,13789.000,13710.780,13789.000
2020-02-18,13668.940,13731.390,13660.450,13681.190
2020-02-17,13770.670,13795.240,13754.040,13783.890
2020-02-14,13756.470,13788.510,13728.120,13744.210
2020-02-13,13695.930,13745.430,13576.960,13745.430
2020-02-12,13671.150,13758.700,13658.150,13749.780
2020-02-11,13604.740,13668.430,13557.960,13627.840
2020-02-10,13476.000,13501.740,13445.410,13494.030
2020-02-07,13530.770,13551.030,13463.980,13513.810
2020-02-06,13570.330,13606.970,13533.660,13574.820
2020-02-05,13224.270,13488.580,13223.140,13478.330
2020-02-04,13135.610,13282.630,13131.070,13281.740
2020-02-03,13033.170,13077.570,12987.530,13045.190
2020-01-31,13196.800,13208.470,12973.700,12981.970
2020-01-30,13186.490,13262.180,13118.970,13157.120
2020-01-29,13316.420,13371.300,13296.030,13345.000
2020-01-28,13274.010,13327.120,13163.360,13323.690
2020-01-27,13374.990,13399.420,13195.280,13204.770
2020-01-24,13512.840,13604.850,13510.790,13576.680
2020-01-23,13455.900,13486.140,13382.230,13388.420
2020-01-22,13601.650,13640.060,13498.030,13515.750
2020-01-21,13456.900,13560.680,13443.250,13555.870
2020-01-20,13503.830,13550.830,13487.210,13548.940
2020-01-17,13513.480,13557.780,13497.300,13526.130
2020-01-16,13463.460,13492.740,13382.980,13429.430
2020-01-15,13444.950,13458.910,13388.480,13432.300
2020-01-14,13439.200,13487.900,13362.200,13456.490
2020-01-13,13521.860,13529.210,13404.720,13451.520
2020-01-10,13533.460,13548.200,13483.310,13483.310
2020-01-09,13474.760,13523.340,13456.780,13495.060
2020-01-08,13140.490,13334.040,13106.270,13320.180
